Age,Age_Group,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,OverTime,predicted_label,Attrition,true_label
23,Under 30,Male,Research & Development,Research Director,4336,3,2,20,No,0,No,0
53,50+,Male,Research & Development,Sales Executive,6247,1,3,3,No,0,No,0
43,40-49,Male,Research & Development,Research Scientist,18551,4,3,19,No,0,No,0
46,40-49,Female,Research & Development,Laboratory Technician,17992,2,1,9,No,1,No,0
21,Under 30,Male,Research & Development,Laboratory Technician,13437,4,3,22,No,0,No,0
59,50+,Male,Sales,Sales Representative,16954,3,1,1,No,0,No,0
51,50+,Female,Research & Development,Human Resources,7842,2,1,20,No,1,Yes,1
44,40-49,Male,Sales,Manager,2982,2,3,22,No,0,No,0
53,50+,Male,Research & Development,Sales Representative,10453,2,3,17,No,0,No,0
21,Under 30,Male,Research & Development,Human Resources,6068,1,2,9,No,0,No,0
50,50+,Male,Research & Development,Research Scientist,14597,4,2,28,No,0,No,0
46,40-49,Male,Research & Development,Sales Representative,10078,1,2,0,No,1,No,0
42,40-49,Female,Research & Development,Healthcare Representative,10528,1,2,8,No,0,No,0
57,50+,Female,Sales,Research Scientist,4702,4,1,22,Yes,1,Yes,1
43,40-49,Male,Research & Development,Human Resources,6890,4,3,19,No,0,No,0
26,Under 30,Male,Research & Development,Healthcare Representative,13770,3,1,3,No,0,No,0
44,40-49,Female,Research & Development,Sales Executive,6777,3,1,10,Yes,1,Yes,1
50,50+,Female,Research & Development,Healthcare Representative,17120,1,3,18,Yes,1,Yes,1
24,Under 30,Male,Human Resources,Laboratory Technician,2367,1,2,21,No,1,No,0
49,40-49,Male,Human Resources,Sales Representative,14822,3,2,8,No,0,No,0
34,30-39,Female,Human Resources,Manufacturing Director,13619,4,1,11,No,1,No,0
19,Under 30,Male,Sales,Research Scientist,19337,2,1,7,No,1,No,0
19,Under 30,Male,Research & Development,Sales Executive,2118,4,2,9,No,1,No,0
45,40-49,Female,Human Resources,Laboratory Technician,12929,1,2,14,No,0,No,0
52,50+,Male,Research & Development,Human Resources,15403,3,1,0,No,0,No,0
36,30-39,Female,Research & Development,Manufacturing Director,12128,3,1,3,No,1,No,0
53,50+,Female,Research & Development,Manufacturing Director,17717,2,3,15,No,1,No,0
55,50+,Male,Sales,Manufacturing Director,6066,1,1,15,No,0,No,0
40,40-49,Male,Research & Development,Healthcare Representative,2156,2,2,3,Yes,1,Yes,1
21,Under 30,Male,Sales,Sales Executive,2280,1,2,15,Yes,1,Yes,1
43,40-49,Female,Research & Development,Sales Executive,8685,3,3,20,No,0,No,0
32,30-39,Female,Sales,Manufacturing Director,5455,3,3,7,Yes,0,No,0
26,Under 30,Male,Research & Development,Sales Representative,13675,2,2,18,Yes,1,Yes,1
51,50+,Male,Research & Development,Laboratory Technician,12304,3,3,24,Yes,0,No,0
50,50+,Male,Human Resources,Research Director,13501,3,1,16,Yes,1,No,0
30,30-39,Female,Research & Development,Research Scientist,4190,4,3,9,No,0,No,0
24,Under 30,Male,Research & Development,Sales Representative,13468,2,1,3,No,1,No,0
24,Under 30,Female,Sales,Sales Executive,7634,3,2,22,No,1,No,0
57,50+,Female,Research & Development,Human Resources,14797,1,2,2,No,1,Yes,1
34,30-39,Female,Research & Development,Sales Representative,4101,1,3,6,No,1,Yes,1
43,40-49,Female,Research & Development,Manager,17112,1,3,14,No,1,No,0
55,50+,Female,Research & Development,Manager,10346,3,3,10,Yes,0,No,0
52,50+,Female,Research & Development,Human Resources,2721,1,2,1,No,1,Yes,1
21,Under 30,Male,Research & Development,Healthcare Representative,10049,1,2,9,No,1,No,0
33,30-39,Female,Sales,Manager,19251,1,2,3,No,1,No,0
57,50+,Male,Research & Development,Human Resources,9645,3,1,7,No,0,No,0
49,40-49,Female,Sales,Research Director,7289,4,1,16,No,0,No,0
41,40-49,Female,Sales,Laboratory Technician,4747,4,3,16,No,0,No,0
37,30-39,Male,Human Resources,Manager,17867,4,2,28,No,0,No,0
25,Under 30,Male,Research & Development,Manufacturing Director,2484,3,2,0,No,1,No,0
56,50+,Male,Human Resources,Sales Representative,2451,3,3,25,No,0,No,0
20,Under 30,Male,Sales,Research Director,3102,1,1,24,Yes,1,Yes,1
25,Under 30,Male,Sales,Research Director,14749,1,2,18,No,0,No,0
51,50+,Male,Human Resources,Healthcare Representative,4353,3,1,29,No,0,No,0
31,30-39,Male,Research & Development,Human Resources,16627,4,2,5,No,0,No,0
37,30-39,Male,Sales,Sales Executive,17809,2,2,27,Yes,1,Yes,1
38,30-39,Male,Research & Development,Laboratory Technician,18878,3,3,15,No,0,No,0
54,50+,Male,Research & Development,Laboratory Technician,7744,2,1,20,No,1,No,0
20,Under 30,Female,Research & Development,Human Resources,2864,3,3,8,No,1,No,0
26,Under 30,Male,Research & Development,Sales Executive,13335,1,2,28,No,1,No,0
43,40-49,Male,Human Resources,Sales Executive,11776,4,1,28,No,0,No,0
36,30-39,Female,Sales,Research Director,16604,4,2,25,Yes,1,No,0
34,30-39,Male,Sales,Manager,6673,4,3,16,No,0,No,0
49,40-49,Male,Sales,Healthcare Representative,13520,1,3,7,No,0,No,0
20,Under 30,Male,Research & Development,Manufacturing Director,19266,4,3,7,No,0,No,0
41,40-49,Male,Research & Development,Sales Representative,15330,1,1,2,No,1,Yes,1
29,Under 30,Female,Human Resources,Sales Executive,16460,3,1,27,No,1,No,0
33,30-39,Male,Sales,Manufacturing Director,17288,3,2,7,Yes,0,No,0
30,30-39,Male,Research & Development,Sales Executive,6158,3,2,24,No,0,No,0
42,40-49,Male,Research & Development,Healthcare Representative,9176,4,3,25,Yes,0,No,0
47,40-49,Male,Research & Development,Sales Representative,13812,3,3,0,No,0,No,0
56,50+,Male,Human Resources,Manager,6493,4,1,1,No,1,Yes,1
30,30-39,Male,Research & Development,Manufacturing Director,12773,3,3,1,No,0,No,0
49,40-49,Female,Research & Development,Manager,9243,1,3,2,Yes,1,Yes,1
21,Under 30,Female,Research & Development,Manager,18303,4,3,6,Yes,1,No,0
55,50+,Male,Human Resources,Research Scientist,7275,4,1,25,No,0,No,0
22,Under 30,Male,Research & Development,Manufacturing Director,4796,3,1,20,Yes,1,Yes,1
44,40-49,Female,Research & Development,Manufacturing Director,9167,2,1,2,Yes,1,Yes,1
27,Under 30,Male,Research & Development,Manager,10508,1,1,29,No,1,Yes,1
37,30-39,Female,Human Resources,Healthcare Representative,10999,1,2,4,No,1,No,0
57,50+,Female,Sales,Sales Executive,18993,1,1,15,No,1,No,0
57,50+,Male,Sales,Sales Representative,4372,1,1,10,No,1,Yes,1
21,Under 30,Male,Sales,Laboratory Technician,17252,2,3,6,No,0,No,0
27,Under 30,Female,Sales,Laboratory Technician,4239,4,1,3,No,1,No,0
18,Under 30,Male,Research & Development,Laboratory Technician,19944,2,1,22,No,1,No,0
20,Under 30,Male,Research & Development,Sales Executive,5883,1,3,13,No,0,No,0
38,30-39,Female,Research & Development,Sales Executive,8761,4,3,2,No,1,No,0
57,50+,Male,Sales,Research Director,19799,1,3,12,No,0,No,0
28,Under 30,Male,Sales,Sales Executive,13037,3,2,9,No,0,No,0
51,50+,Male,Research & Development,Manufacturing Director,5405,2,3,17,No,0,No,0
54,50+,Female,Research & Development,Manufacturing Director,5037,4,3,1,Yes,1,Yes,1
42,40-49,Male,Research & Development,Manufacturing Director,16088,3,2,26,No,0,No,0
23,Under 30,Male,Sales,Sales Executive,7335,4,3,18,No,0,No,0
37,30-39,Male,Sales,Healthcare Representative,15312,3,3,23,No,0,No,0
37,30-39,Female,Research & Development,Human Resources,4963,3,1,20,No,1,Yes,1
55,50+,Female,Research & Development,Research Scientist,18164,4,3,3,No,0,No,0
57,50+,Male,Research & Development,Research Director,18669,1,3,3,Yes,1,Yes,1
51,50+,Female,Sales,Sales Executive,7179,4,2,13,No,0,No,0
24,Under 30,Male,Sales,Manufacturing Director,6735,4,1,21,Yes,1,No,0
46,40-49,Male,Research & Development,Sales Representative,14397,2,1,6,No,0,No,0
19,Under 30,Female,Sales,Research Director,10631,4,2,26,No,0,No,0
21,Under 30,Male,Sales,Sales Representative,5417,2,1,0,No,1,Yes,1
34,30-39,Male,Sales,Human Resources,19139,1,2,21,No,0,No,0
38,30-39,Female,Research & Development,Research Scientist,13095,2,1,5,No,1,Yes,1
20,Under 30,Female,Research & Development,Research Director,15186,4,1,2,No,1,Yes,1
58,50+,Male,Research & Development,Human Resources,12751,2,3,26,No,0,No,0
43,40-49,Female,Human Resources,Manufacturing Director,18682,3,3,3,No,0,No,0
38,30-39,Female,Research & Development,Healthcare Representative,15792,3,2,27,No,0,No,0
37,30-39,Male,Research & Development,Human Resources,18728,3,2,14,No,0,No,0
57,50+,Male,Research & Development,Sales Representative,11285,3,3,28,No,0,No,0
45,40-49,Male,Sales,Laboratory Technician,15338,1,2,21,Yes,1,Yes,1
24,Under 30,Male,Research & Development,Laboratory Technician,9265,1,3,16,No,1,No,0
40,40-49,Male,Research & Development,Sales Executive,8327,2,2,9,No,0,No,0
34,30-39,Female,Sales,Healthcare Representative,2048,2,3,11,No,1,Yes,1
48,40-49,Male,Sales,Sales Executive,4630,2,1,16,No,1,Yes,1
25,Under 30,Male,Research & Development,Laboratory Technician,11545,1,3,24,No,0,No,0
58,50+,Male,Research & Development,Research Scientist,10703,1,3,7,No,0,No,0
54,50+,Female,Research & Development,Healthcare Representative,9097,2,1,12,No,1,No,0
25,Under 30,Female,Human Resources,Manager,10585,2,3,14,Yes,1,Yes,1
30,30-39,Female,Research & Development,Healthcare Representative,19533,2,1,29,No,0,No,0
40,40-49,Male,Research & Development,Laboratory Technician,11738,3,1,9,No,0,No,0
32,30-39,Female,Research & Development,Research Director,2485,2,2,28,No,1,No,0
42,40-49,Male,Research & Development,Research Director,12171,1,2,16,Yes,1,Yes,1
38,30-39,Female,Sales,Laboratory Technician,11754,2,2,29,Yes,1,No,0
45,40-49,Female,Research & Development,Laboratory Technician,19165,1,1,15,Yes,1,Yes,1
24,Under 30,Female,Research & Development,Healthcare Representative,12618,4,2,4,No,0,No,0
42,40-49,Male,Research & Development,Laboratory Technician,18882,3,3,7,No,0,No,0
27,Under 30,Male,Research & Development,Human Resources,5958,2,1,25,No,1,Yes,1
58,50+,Female,Research & Development,Laboratory Technician,9066,2,3,26,Yes,1,No,0
44,40-49,Male,Research & Development,Healthcare Representative,8313,1,3,29,No,0,No,0
35,30-39,Male,Human Resources,Manager,10244,2,1,27,No,0,No,0
47,40-49,Male,Sales,Human Resources,14179,4,2,17,No,0,No,0
48,40-49,Male,Research & Development,Human Resources,5146,1,1,28,No,0,No,0
32,30-39,Male,Human Resources,Healthcare Representative,19072,2,2,11,Yes,1,Yes,1
32,30-39,Female,Research & Development,Healthcare Representative,17051,2,1,26,No,1,No,0
21,Under 30,Male,Research & Development,Human Resources,4199,3,2,12,No,0,No,0
53,50+,Female,Research & Development,Research Director,3421,2,1,27,No,1,Yes,1
23,Under 30,Male,Research & Development,Research Director,19994,4,2,19,No,0,No,0
39,30-39,Female,Research & Development,Manager,10304,2,2,21,No,1,No,0
21,Under 30,Female,Research & Development,Sales Representative,15672,3,2,11,No,0,No,0
40,40-49,Female,Research & Development,Laboratory Technician,4160,4,3,22,No,0,No,0
48,40-49,Male,Sales,Research Director,8367,3,1,2,Yes,1,Yes,1
43,40-49,Female,Human Resources,Research Director,14914,4,1,2,Yes,1,Yes,1
28,Under 30,Female,Sales,Research Director,6018,1,2,18,No,1,No,0
38,30-39,Male,Research & Development,Sales Executive,17770,4,1,9,No,0,No,0
31,30-39,Male,Research & Development,Human Resources,5243,1,3,6,No,1,No,0
44,40-49,Male,Sales,Manufacturing Director,17701,1,1,16,Yes,1,Yes,1
27,Under 30,Male,Sales,Manufacturing Director,9779,3,1,13,No,0,No,0
25,Under 30,Male,Research & Development,Research Scientist,2643,4,2,24,No,0,No,0
21,Under 30,Female,Research & Development,Human Resources,13724,1,2,24,Yes,1,No,0
24,Under 30,Male,Research & Development,Manager,2420,2,2,8,No,0,Yes,1
46,40-49,Female,Research & Development,Healthcare Representative,3679,1,3,2,No,1,Yes,1
42,40-49,Male,Research & Development,Laboratory Technician,2213,4,1,16,No,0,No,0
55,50+,Female,Research & Development,Sales Representative,15133,4,1,26,No,0,No,0
18,Under 30,Male,Research & Development,Human Resources,11551,4,2,15,No,0,No,0
33,30-39,Male,Sales,Healthcare Representative,11177,4,3,7,No,0,No,0
20,Under 30,Female,Research & Development,Sales Executive,17309,4,3,15,Yes,1,No,0
50,50+,Female,Research & Development,Sales Representative,4985,3,3,21,No,0,No,0
24,Under 30,Female,Research & Development,Human Resources,11890,3,1,28,Yes,1,Yes,1
57,50+,Male,Sales,Sales Executive,17985,1,2,10,No,0,No,0
32,30-39,Male,Research & Development,Laboratory Technician,17673,2,1,9,No,1,Yes,1
25,Under 30,Male,Research & Development,Laboratory Technician,5452,4,2,16,No,0,No,0
42,40-49,Female,Research & Development,Laboratory Technician,8836,1,3,2,No,1,Yes,1
18,Under 30,Female,Research & Development,Healthcare Representative,14613,1,2,4,No,1,No,0
27,Under 30,Female,Research & Development,Human Resources,12064,2,3,11,No,1,No,0
33,30-39,Male,Sales,Laboratory Technician,19511,3,1,15,No,0,No,0
29,Under 30,Female,Human Resources,Sales Executive,18548,1,2,12,No,1,No,0
42,40-49,Male,Sales,Human Resources,8538,4,2,6,No,0,No,0
40,40-49,Female,Sales,Laboratory Technician,7544,4,1,24,No,0,No,0
31,30-39,Male,Sales,Manufacturing Director,15583,2,2,1,No,0,Yes,1
25,Under 30,Female,Sales,Manager,11990,3,1,18,No,1,No,0
25,Under 30,Female,Sales,Sales Representative,8304,2,2,23,No,1,No,0
43,40-49,Male,Sales,Manager,17148,3,1,18,No,0,No,0
19,Under 30,Male,Sales,Sales Executive,18166,2,2,19,Yes,1,Yes,1
26,Under 30,Female,Sales,Laboratory Technician,8441,3,1,17,No,0,No,0
58,50+,Male,Research & Development,Laboratory Technician,5266,2,3,2,No,0,No,0
37,30-39,Male,Research & Development,Manufacturing Director,9036,2,3,2,No,1,Yes,1
55,50+,Female,Sales,Healthcare Representative,15410,2,1,2,Yes,1,Yes,1
40,40-49,Male,Sales,Healthcare Representative,18680,2,3,3,No,0,No,0
31,30-39,Male,Research & Development,Healthcare Representative,14867,1,2,24,No,0,No,0
55,50+,Male,Research & Development,Research Scientist,14542,3,3,11,No,0,No,0
45,40-49,Male,Research & Development,Human Resources,16025,1,3,21,Yes,1,Yes,1
48,40-49,Female,Research & Development,Human Resources,17763,1,3,19,No,0,No,0
45,40-49,Female,Human Resources,Manufacturing Director,17609,3,3,20,No,0,No,0
51,50+,Female,Research & Development,Laboratory Technician,7473,3,2,14,Yes,1,No,0
19,Under 30,Male,Sales,Manager,13608,2,1,18,Yes,1,Yes,1
